U+61A4	憤
U+61AC	憬
U+619A	憚
U+6194	憔
U+61B2	憲
U+6191	憑
U+61A9	憩
U+618A	憊
U+61CD	懍
U+61B6	憶
U+61BE	憾
U+61C2	懂
U+61CA	懊
U+61C8	懈
U+61C9	應
U+61C7	懇
U+61E6	懦
U+61E3	懣
U+61F2	懲
U+61F7	懷
U+61F6	懶
U+61F5	懵
U+61F8	懸
U+61FA	懺
U+61FC	懼
U+61FF	懿
U+6200	戀
U+6208	戈
U+620A	戊
U+620E	戎
U+620C	戌
U+620D	戍
U+6210	成
U+6212	戒
U+6211	我
U+6216	或
U+6215	戕
U+621B	戛
U+621A	戚
U+621F	戟
U+6221	戡
U+6222	戢
U+622A	截
U+622E	戮
U+6230	戰
U+6234	戴
U+6232	戲
U+6233	戳
U+6237	户
U+623F	房
U+623E	戾
U+6240	所
U+6241	扁
U+6247	扇
U+6248	扈
U+6249	扉
U+624D	才
U+624B	手
U+624E	扎
U+6253	打
U+6254	扔
U+6252	扒
U+625B	扛
U+6263	扣
U+6258	托
U+6297	抗
U+6296	抖
U+6280	技
U+6276	扶
U+6289	抉
U+626D	扭
U+628A	把
U+627C	扼
U+627E	找
U+6292	抒
U+6284	抄
U+6279	批
U+626F	扯
U+6291	抑
U+6298	折
U+6273	扳
U+626E	扮
U+6295	投
U+6293	抓
U+627F	承
U+62C9	拉
U+62CC	拌
U+62C4	拄
U+62BF	抿
U+62C2	拂
U+62B9	抹
U+62D2	拒
U+62DB	招
U+62D3	拓
U+62D4	拔
U+62CB	拋
U+62A8	抨
U+62C6	拆
U+62C8	拈
U+62BD	抽
U+62BC	押
U+62D0	拐
U+62D9	拙
U+62C7	拇
U+62AB	披
U+62CD	拍
U+62B5	抵
U+62DA	拚
U+62B1	抱
U+62D8	拘
U+62D6	拖
U+62D7	拗
U+62AC,U+64E1	抬擡
U+62DC	拜
U+6316	挖
U+6309	按
U+62FC	拼
U+6311	挑
U+62ED	拭
U+6301	持
U+62EE	拮
U+6307	指
U+62F1	拱
U+62F7	拷
U+62EF	拯
U+62FD	拽
U+62F4	拴
U+62EC	括
U+62FE	拾
U+62FF	拿
U+6308	挈
U+62F3	拳
U+633E	挾
U+632F	振
U+6355	捕
U+6342	捂
U+632A	挪
U+634E	捎
U+6346	捆
U+634F	捏
U+6349	捉
U+6350	捐
U+633A	挺
U+633D	挽
U+632B	挫
U+6328	挨
U+63A0	掠
U+63A7	控
U+6372	捲
U+6396	掖
U+63A2	探
U+63A5	接
U+6369	捩
U+6377	捷
U+6367	捧
U+6398	掘
U+63AA	措
U+6371	捱
U+63A9	掩
U+6383	掃
U+639B	掛
U+636B	捫
U+6389	掉
U+6392	排
U+6368	捨
U+63A8	推
U+6384	掄
U+6388	授
U+6399	掙
U+63A1	採
U+63AC	掬
U+638F	掏
U+6380	掀
U+637B	捻
U+638C	掌
U+63A3	掣
U+63EE	揮
U+63CF	描
U+63C0	揀
U+63C9	揉
U+63C6	揆
