U+82CF	苏	sū
U+6746	杆	gān,gǎn
U+6760	杠	gàng
U+675C	杜	dù
U+6750	材	cái
U+6751	村	cūn
U+6756	杖	zhàng
U+674F	杏	xìng
U+6749	杉	shā,shān
U+5DEB	巫	wū
U+6781	极	jí
U+674E	李	lǐ
U+6768	杨	yáng
U+6C42	求	qiú
U+752B	甫	fǔ
U+5323	匣	xiá
U+66F4	更	gēng,gèng
U+675F	束	shù
U+543E	吾	wú
U+8C46	豆	dòu
U+4E24	两	liǎng
U+9149	酉	yǒu
U+4E3D	丽	lí,lì
U+533B	医	yī
U+8FB0	辰	chén
U+52B1	励	lì
U+5426	否	fǒu,pǐ
U+8FD8	还	hái,huán
U+5C2C	尬	gà
U+6B7C	歼	jiān
U+6765	来	lái
U+8FDE	连	lián
U+8F69	轩	xuān
U+6B65	步	bù
U+5364	卤	lǔ
U+575A	坚	jiān
U+8096	肖	xiāo,xiào
U+65F1	旱	hàn
U+76EF	盯	dīng
U+5448	呈	chéng
U+65F6	时	shí
U+5434	吴	wú
U+52A9	助	zhù
U+53BF	县	xiàn
U+91CC	里	lǐ
U+5446	呆	dāi
U+5431	吱	zhī,zī
U+5420	吠	fèi
U+5455	呕	ǒu
U+56ED	园	yuán
U+65F7	旷	kuàng
U+56F4	围	wéi
U+5440	呀	yā,ya
U+5428	吨	dūn
U+8DB3	足	zú
U+90AE	邮	yóu
U+7537	男	nán
U+56F0	困	kùn
U+5435	吵	chāo,chǎo
U+4E32	串	chuàn
U+5458	员	yuán,yùn
U+5450	呐	nà
U+542C	听	tīng
U+541F	吟	yín
U+5429	吩	fēn
U+545B	呛	qiāng,qiàng
U+543B	吻	wěn
U+5439	吹	chuī
U+545C	呜	wū
U+542D	吭	háng,kēng
U+5427	吧	bā,ba
U+9091	邑	yì
U+543C	吼	hǒu
U+56E4	囤	dùn,tún
U+522B	别	bié,biè
U+542E	吮	shǔn
U+5C96	岖	qū
U+5C97	岗	gāng,gǎng
U+5E10	帐	zhàng
U+8D22	财	cái
U+9488	针	zhēn
U+9489	钉	dīng,dìng
U+7261	牡	mǔ
U+544A	告	gào
U+6211	我	wǒ
U+4E71	乱	luàn
U+5229	利	lì
U+79C3	秃	tū
U+79C0	秀	xiù
U+79C1	私	sī
U+6BCF	每	měi
U+5175	兵	bīng
U+4F30	估	gū,gù
U+4F53	体	tī,tǐ
U+4F55	何	hé
U+4F50	佐	zuǒ
U+4F51	佑	yòu
U+4F46	但	dàn
U+4F38	伸	shēn
U+4F43	佃	diàn
U+4F5C	作	zuō,zuò
U+4F2F	伯	bǎi,bó
U+4F36	伶	líng
U+4F63	佣	yōng,yòng
U+4F4E	低	dī
U+4F60	你	nǐ
U+4F4F	住	zhù
U+4F4D	位	wèi
U+4F34	伴	bàn
U+8EAB	身	shēn
U+7682	皂	zào
U+4F3A	伺	cì,sì
U+4F5B	佛	fó,fú
U+56F1	囱	cōng
U+8FD1	近	jìn
U+5F7B	彻	chè
U+5F79	役	yì
U+8FD4	返	fǎn
U+4F59	余	yú
U+5E0C	希	xī
U+5750	坐	zuò
U+8C37	谷	gǔ
U+59A5	妥	tuǒ
U+542B	含	hán
U+90BB	邻	lín
U+5C94	岔	chà
U+809D	肝	gān
U+809B	肛	gāng
U+809A	肚	dǔ,dù
U+8098	肘	zhǒu
U+80A0	肠	cháng
U+9F9F	龟	guī,jūn,qiū
U+7538	甸	diàn
U+514D	免	miǎn
U+72C2	狂	kuáng
U+72B9	犹	yóu
U+72C8	狈	bèi
U+89D2	角	jiǎo,jué
U+5220	删	shān
U+6761	条	tiáo
U+5F64	彤	tóng
U+5375	卵	luǎn
U+7078	灸	jiǔ
U+5C9B	岛	dǎo
U+5228	刨	bào,páo
U+8FCE	迎	yíng
U+996D	饭	fàn
U+996E	饮	yǐn,yìn
U+7CFB	系	jì,xì
U+8A00	言	yán
U+51BB	冻	dòng
U+72B6	状	zhuàng
U+4EA9	亩	mǔ
U+51B5	况	kuàng
U+5E8A	床	chuáng
U+5E93	库	kù
U+5E87	庇	bì
U+7597	疗	liáo
U+541D	吝	lìn
U+5E94	应	yīng,yìng
U+8FD9	这	zhè
U+51B7	冷	lěng
U+5E90	庐	lú
U+5E8F	序	xù
U+8F9B	辛	xīn
